ID,STRING
ITEM_NAME_5020202,양상추
ITEM_NAME_5020203,감자
ITEM_NAME_5020204,새우
ITEM_NAME_5020205,양송이 버섯
ITEM_NAME_5020206,가지
ITEM_NAME_5020207,파
ITEM_NAME_5020208,치즈
ITEM_NAME_5020209,양갈비
ITEM_NAME_5020210,연어
ITEM_NAME_5020211,오렌지
ITEM_NAME_5020212,블루베리
ITEM_NAME_5020213,소금
ITEM_NAME_5020214,후추
ITEM_NAME_5020215,조기
ITEM_NAME_5020216,랍스터
ITEM_NAME_5020217,소세지
ITEM_NAME_5020218,토마호크
ITEM_NAME_5020219,닭다리살
ITEM_NAME_5020220,폭립
ITEM_NAME_5020221,버터
ITEM_NAME_5020222,통닭
ITEM_NAME_5020223,우유
ITEM_NAME_5020224,마늘
ITEM_NAME_5020225,애호박
ITEM_NAME_5020226,양파
ITEM_NAME_5020227,과일샐러드
ITEM_NAME_5020228,소세지 볶음
ITEM_NAME_5020229,랍스터 버터 구이
ITEM_NAME_5020230,조기튀김
ITEM_NAME_5020231,토마호크 스테이크
ITEM_NAME_5020232,감자 버터 구이
ITEM_NAME_5020233,그라탕
ITEM_NAME_5020234,닭꼬치
ITEM_NAME_5020235,양송이스프
ITEM_NAME_5020236,통닭구이
ITEM_NAME_5020237,라따뚜이
ITEM_NAME_5020238,감바스
ITEM_NAME_5020239,양갈비 구이
ITEM_NAME_5020240,연어구이
ITEM_NAME_5020241,바베큐 폭립
ITEM_NAME_5040001,견습생 비누
ITEM_NAME_5040301,낡은 비누
ITEM_NAME_5040302,거품 비누
ITEM_NAME_5040303,고급 샴푸
ITEM_NAME_5050001,견습생 브러쉬
ITEM_NAME_5050301,거친 브러쉬
ITEM_NAME_5050302,부드러운 브러쉬
ITEM_NAME_5050303,황금 브러쉬
ITEM_NAME_5060001,견습생 공
ITEM_NAME_5060501,나뭇가지
ITEM_NAME_5060502,고무 공
ITEM_NAME_5060503,테니스 공
ITEM_NAME_5060504,부러진 뼈다귀
ITEM_NAME_5060505,플라잉 디스크
ITEM_NAME_5010001,고대의 화염의 알
ITEM_NAME_5010002,고대의 물의 알
ITEM_NAME_5010003,고대의 풀의 알
ITEM_NAME_5010004,고대의 바람의 알
ITEM_NAME_5030601,감기약
ITEM_NAME_5030701,해독제
ITEM_NAME_5030801,해열제
ITEM_NAME_5030901,구충제
ITEM_NAME_5031001,연고
ITEM_NAME_5031101,붕대
ITEM_NAME_5031201,부목
ITEM_NAME_5070001,코인
ITEM_TYPE,아이템 타입
EFFECT1_TYPE,효과 1 타입
EFFECT1_VALUE,효과 1 값
EFFECT2_TYPE,효과 2 타입
EFFECT2_VALUE,효과 2 값
DROPPED,드랍 여부
COOKABLE,요리 가능 여부
INVENTORY,인벤토리 소지 여부
USEMETHOD,사용 경로
CONSUMABLE,사용 시 소모 여부
ONE_CONSUMPTION,1회 사용시 소모량 (%)
MAXSTACK,최대 중첩 개수
ITEM_DESCRIPTION,아이템 설명
ITEM_DESCRIPTION_5020201,신선한 붉은 토마토. (배부름 +3)
ITEM_DESCRIPTION_5020202,아삭한 식감의 양배추. (배부름 +3)
ITEM_DESCRIPTION_5020203,밭에서 자란 튼실한 감자. (배부름 +3)
ITEM_DESCRIPTION_5020204,바다에서 잡아온 싱싱한 새우. (배부름 +3)
ITEM_DESCRIPTION_5020205,은은한 향의 버섯. 스프나 볶음에 제격이다. (배부름 +3)
ITEM_DESCRIPTION_5020206,영양소가 풍부한 보랏빛 가지. 구우면 부드럽고 달큰하다. (배부름 +3)
ITEM_DESCRIPTION_5020207,향과 감칠맛을 더해주는 파. (배부름 +3)
ITEM_DESCRIPTION_5020208,진한 풍미의 고소한 치즈. (배부름 +3)
ITEM_DESCRIPTION_5020209,기름기 적고 향이 좋은 고급 고기. (배부름 +5)
ITEM_DESCRIPTION_5020210,부드럽고 고소한 맛의 연어. (배부름 +5)
ITEM_DESCRIPTION_5020211,비타민이 풍부하고 상큼한 오렌지. (배부름 +2)
ITEM_DESCRIPTION_5020212,작은 보라빛 블루베리. 달콤하고 건강에 좋다. (배부름 +2)
ITEM_DESCRIPTION_5020213,모든 요리에 기본이 되는 식재료. (배부름 +2)
ITEM_DESCRIPTION_5020214,매콤한 향신료. 풍미를 살려준다. (배부름 +2)
ITEM_DESCRIPTION_5020215,구워 먹기 좋은 소형 생선. (배부름 +3)
ITEM_DESCRIPTION_5020216,쫄깃하고 달콤한 살이 일품인 고급 해산물. (배부름 +5)
ITEM_DESCRIPTION_5020217,간편하게 즐기는 육가공 식품. (배부름 +4)
ITEM_DESCRIPTION_5020218,뼈가 붙은 고급 스테이크용 소고기. (배부름 +5)
ITEM_DESCRIPTION_5020219,육즙 가득한 닭고기. (배부름 +4)
ITEM_DESCRIPTION_5020220,달콤짭짤한 소스를 발라 구운 갈비. (배부름 +5)
ITEM_DESCRIPTION_5020221,고소하고 부드러운 맛을 더해주는 버터. (배부름 +3)
ITEM_DESCRIPTION_5020222,겉을 바삭하게 조리한 닭고기. (배부름 +5)
ITEM_DESCRIPTION_5020223,칼슘이 가득하고 신선한 목장 우유. (배부름 +3)
ITEM_DESCRIPTION_5020224,강한 향과 맛을 내는 마늘. (배부름 +3)
ITEM_DESCRIPTION_5020225,부드럽고 담백한 애호박. (배부름 +3)
ITEM_DESCRIPTION_5020226,아삭하고 신선한 양파 (배부름 +3).
ITEM_DESCRIPTION_5020227,"신선한 과일과 야채로 만든 건강식 샐러드. (배부름 +14, 체력 +10)"
ITEM_DESCRIPTION_5020228,"소세지와 신선한 채소를 볶아낸 간단하고 든든한 요리. (배부름 +19, 친밀도 +5)"
ITEM_DESCRIPTION_5020229,"고급 랍스터를 버터로 구운 요리. (배부름 +25, 피로도 -6)"
ITEM_DESCRIPTION_5020230,"바삭하고 고소한 조기 튀김. (배부름 +16, 피로도-10)"
ITEM_DESCRIPTION_5020231,"두툼한 뼈째 고기를 풍미 있게 구운 프리미엄 스테이크. (배부름 +35, 체력 +12)"
ITEM_DESCRIPTION_5020232,"감자를 버터와 함께 구워 부드럽고 고소한 맛을 낸 요리. (배부름 +15, 친밀도 +7)"
ITEM_DESCRIPTION_5020233,"치즈와 크림을 곁들여 오븐에 구운 부드럽고 따뜻한 요리. (배부름 +20, 친밀도 +5)"
ITEM_DESCRIPTION_5020234,"양념한 닭고기를 꼬치에 끼워 구운 음식. (배부름 +22, 체력 +4)"
ITEM_DESCRIPTION_5020235,"양송이버섯의 향을 살린 부드럽고 담백한 크림 수프. (배부름 +14, 체력 +15)"
ITEM_DESCRIPTION_5020236,"닭 한 마리를 통째로 구워내 육즙과 풍미를 살린 요리. (배부름 +25, 체력 +6)"
ITEM_DESCRIPTION_5020237,"다양한 채소를 오븐에 구운 요리. (배부름 +15, 친밀도 +10)"
ITEM_DESCRIPTION_5020238,"새우를 올리브 오일과 마늘에 풍미 있게 볶아낸 요리. (배부름 +24, 체력 +8)"
ITEM_DESCRIPTION_5020239,"육즙 가득한 양갈비를 구워 고급스럽게 즐기는 스테이크. (배부름 +30, 친밀도 +10)"
ITEM_DESCRIPTION_5020240,"신선한 연어를 겉은 바삭, 속은 촉촉하게 구운 요리. (배부름 +28, 친밀도 +6)"
ITEM_DESCRIPTION_5020241,"부드럽게 조리한 돼지갈비에 진한 바베큐 소스를 입힌 요리. (배부름 +35, 피로도 -12)"
ITEM_DESCRIPTION_5040001,비누 기본 제공 아이템.
ITEM_DESCRIPTION_5040301,오래돼 거품이 잘 안 나는 비누. (청결 +4)
ITEM_DESCRIPTION_5040302,풍성한 거품이 나는 비누. (청결 +7)
ITEM_DESCRIPTION_5040303,향기롭고 윤기나는 럭셔리 샴푸. (청결 +12)
ITEM_DESCRIPTION_5050001,브러쉬 기본 제공 아이템.
ITEM_DESCRIPTION_5050301,"곧 망가질 것 같은 브러쉬. (청결 +3, 친밀도 +1)"
ITEM_DESCRIPTION_5050302,"촘촘하고 섬세한 브러쉬. (청결 +5, 친밀도 +2)"
ITEM_DESCRIPTION_5050303,"금으로 장식된 최고급 브러쉬. (청결 +8, 친밀도 +4)"
ITEM_DESCRIPTION_5060001,놀아주기 기본 제공 아이템.
ITEM_DESCRIPTION_5060501,던져서 놀기 좋은 나뭇가지. (친밀도 +3)
ITEM_DESCRIPTION_5060502,말랑말랑 튀어오르는 공. (친밀도 +6)
ITEM_DESCRIPTION_5060503,던지기 놀이에 최적화된 공. (친밀도 +10)
ITEM_DESCRIPTION_5060504,낡았지만 물어 뜯기 좋은 뼈다귀. (친밀도 +8)
ITEM_DESCRIPTION_5060505,멀리 던져서 노는 원반 장난감. (친밀도 +14)
ITEM_DESCRIPTION_5010001,신비한 힘이 깃든 불 속성 알.
ITEM_DESCRIPTION_5010002,신비한 힘이 깃든 물 속성 알.
ITEM_DESCRIPTION_5010003,신비한 힘이 깃든 풀 속성 알.
ITEM_DESCRIPTION_5010004,신비한 힘이 깃든 바람 속성 알.
ITEM_DESCRIPTION_5030601,감기를 낫게 해주는 약.
ITEM_DESCRIPTION_5030701,식중독을 치료하는 약.
ITEM_DESCRIPTION_5030801,고열을 내려주는 약.
ITEM_DESCRIPTION_5030901,기생충을 없애주는 약.
ITEM_DESCRIPTION_5031001,긁힌 상처에 바르는 치료제.
ITEM_DESCRIPTION_5031101,상처를 감싸 출혈을 막아주는 의약품.
ITEM_DESCRIPTION_5031201,부러진 뼈를 고정해주는 도구.
ITEM_DESCRIPTION_5070001,게임 내에서 사용되는 기본 화폐. 아이템 상점이나 병원에서 사용 가능하다.
ITEM_IMAGE,아이템 이미지
RECIPE_ID,레시피 아이디
RECIPE_ID_7010101,과일샐러드의 레시피.
RECIPE_ID_7010102,소세지 볶음의 레시피.
RECIPE_ID_7030101,랍스터 버터 구이의 레시피.
RECIPE_ID_7010103,조기튀김의 레시피.
RECIPE_ID_7010104,토마호크 스테이크의 레시피.
RECIPE_ID_7020101,감자 버터 구이의 레시피.
RECIPE_ID_7010105,그라탕의 레시피.
RECIPE_ID_7030102,닭꼬치의 레시피.
RECIPE_ID_7010106,양송이스프의 레시피.
RECIPE_ID_7010107,통닭구이의 레시피.
RECIPE_ID_7010108,라따뚜이의 레시피.
RECIPE_ID_7050101,감바스의 레시피.
RECIPE_ID_7010109,양갈비 구이의 레시피.
RECIPE_ID_7010110,연어구이의 레시피.
RECIPE_ID_7010111,바베큐 폭립의 레시피.
INGREDIENT1_ID,재료 1 ID
INGREDIENT1_AMOUNT,재료 1 필요 개수
INGREDIENT2_ID,재료 2 ID
INGREDIENT2_AMOUNT,재료 2 필요 개수
INGREDIENT3_ID,재료 3 ID
INGREDIENT3_AMOUNT,재료 3 필요 개수
INGREDIENT4_ID,재료 4 ID
INGREDIENT4_AMOUNT,재료 4 필요 개수
RESULT_ID,결과물 ID
RESULT_ID_5020227,과일샐러드
RESULT_ID_5020228,소세지 볶음
RESULT_ID_5020229,랍스터 버터 구이
RESULT_ID_5020230,조기튀김
RESULT_ID_5020231,토마호크 스테이크
RESULT_ID_5020203,감자 버터 구이
RESULT_ID_5020233,그라탕
RESULT_ID_5020234,닭꼬치
RESULT_ID_5020235,양송이스프
RESULT_ID_5020236,통닭구이
RESULT_ID_5020237,라따뚜이
RESULT_ID_5020238,감바스
RESULT_ID_5020239,양갈비 구이
RESULT_ID_5020240,연어구이
RESULT_ID_5020241,바베큐 폭립
RESULT_AMOUNT,결과물 개수
COOKTIME,제작 시간 (s)
COOKING_DESCRIPTION,요리 설명
COOKING_DESCRIPTION_7010101,"신선한 과일과 야채로 만든 건강식 샐러드. (배부름 +14, 체력 +10)"
COOKING_DESCRIPTION_7010102,"소세지와 신선한 채소를 볶아낸 간단하고 든든한 요리. (배부름 +19, 친밀도 +5)"
COOKING_DESCRIPTION_7030102,"고급 랍스터를 버터로 구운 요리. (배부름 +25, 피로도 -6)"
COOKING_DESCRIPTION_7010103,"바삭하고 고소한 조기 튀김. (배부름 +16, 피로도-10)"
COOKING_DESCRIPTION_7010104,"두툼한 뼈째 고기를 풍미 있게 구운 프리미엄 스테이크. (배부름 +35, 체력 +12)"
COOKING_DESCRIPTION_7020101,"감자를 버터와 함께 구워 부드럽고 고소한 맛을 낸 요리. (배부름 +15, 친밀도 +7)"
COOKING_DESCRIPTION_7010105,"치즈와 크림을 곁들여 오븐에 구운 부드럽고 따뜻한 요리. (배부름 +20, 친밀도 +5)"
COOKING_DESCRIPTION_7030103,"양념한 닭고기를 꼬치에 끼워 구운 음식. (배부름 +22, 체력 +4)"
COOKING_DESCRIPTION_7010106,"양송이버섯의 향을 살린 부드럽고 담백한 크림 수프. (배부름 +14, 체력 +15)"
COOKING_DESCRIPTION_7010107,"닭 한 마리를 통째로 구워내 육즙과 풍미를 살린 요리. (배부름 +25, 체력 +6)"
COOKING_DESCRIPTION_7010108,"다양한 채소를 오븐에 구운 요리. (배부름 +15, 친밀도 +10)"
COOKING_DESCRIPTION_7050102,"새우를 올리브 오일과 마늘에 풍미 있게 볶아낸 요리. (배부름 +24, 체력 +8)"
COOKING_DESCRIPTION_7010109,"육즙 가득한 양갈비를 구워 고급스럽게 즐기는 스테이크. (배부름 +30, 친밀도 +10)"
COOKING_DESCRIPTION_7010110,"신선한 연어를 겉은 바삭, 속은 촉촉하게 구운 요리. (배부름 +28, 친밀도 +6)"
COOKING_DESCRIPTION_7010111,"부드럽게 조리한 돼지갈비에 진한 바베큐 소스를 입힌 요리. (배부름 +35, 피로도 -12)"
DEBUFF_ID,디버프 아이디
DEBUFF_ID_2010101,감기
DEBUFF_ID_2010201,식중독
DEBUFF_ID_2010301,고열
DEBUFF_ID_2010401,기생충 감염
DEBUFF_ID_2020501,긁힘
DEBUFF_ID_2020401,출혈
DEBUFF_ID_2020101,골절
DEBUFF_ID_2030501,더러움
DEBUFF_ID_2030101,배고픔
DEBUFF_ID_2030401,피곤함
DEBUFF_ID_2030601,기절
DEBUFF_NAME,디버프 이름
DEBUFF_TYPE,디버프 타입
DBEFFECT_TYPE,디버프 효과 타입
DBVALUE,디버프 값 (%)
DBTRIGGER_TYPE,디버프 발동 조건 타입
DBTRIGGER_RATE,디버프 발동 확률 (%)
CURE_TYPE,해제 조건
STAT_ID,능력치 아이디
STAT_NAME,능력치 이름
STAT_NAME_3010201,체력
STAT_NAME_3020201,피로도
STAT_NAME_3030201,배부름
STAT_NAME_3040201,친밀도
STAT_NAME_3050101,청결
DEP_TYPE,소모 타입
REC_TYPE_NURTURE,회복 타입
STAT_DESCRIPTION,능력치 설명
STAT_DESCRIPTION_3010201,"드래곤의 생명력. 0이 되면 드래곤이 기절하고 친밀도가 크게 감소한다. 배부름 수치를 소모해 회복할 수 있다."
STAT_DESCRIPTION_3020201,드래곤이 지친 정도를 나타내는 수치. 휴식을 통해 낮출 수 있다.
STAT_DESCRIPTION_3030201,드래곤에게 음식을 먹이면 오르는 수치. 0이 되면 체력이 천천히 닳기 시작한다.
STAT_DESCRIPTION_3040201,브리더와의 관계를 나타내는 수치. 놀아주기를 통해 올릴 수 있다.
STAT_DESCRIPTION_3050101,드래곤의 깨끗함 정도. 질병 확률을 줄여준다. 목욕하기를 통해 올릴 수 있다.
DROP_ID,드랍 아이디
DROP_ID_6010501,토마토
DROP_ID_6010502,양상추
DROP_ID_6010503,감자
DROP_ID_6010504,새우
DROP_ID_6010505,양송이 버섯
DROP_ID_6010506,가지
DROP_ID_6010507,파
DROP_ID_6010508,치즈
DROP_ID_6010509,양갈비
DROP_ID_6010510,연어
DROP_ID_6010511,오렌지
DROP_ID_6010512,블루베리
DROP_ID_6010513,소금
DROP_ID_6010514,후추
DROP_ID_6010515,조기
DROP_ID_6010516,랍스터
DROP_ID_6010517,소세지
DROP_ID_6010518,토마호크
DROP_ID_6010519,닭다리살
DROP_ID_6010520,폭립
DROP_ID_6010521,버터
DROP_ID_6010522,통닭
DROP_ID_6010523,우유
DROP_ID_6010524,마늘
DROP_ID_6010525,애호박
DROP_ID_6010526,양파
DROP_ID_6010201,고대의 화염의 알
DROP_ID_6010202,고대의 물의 알
DROP_ID_6010203,고대의 풀의 알
DROP_ID_6010204,고대의 바람의 알
DROP_ID_7025001,코인
ITEM_ID,아이템 ID
DROP_BIOME,드랍되는 훈련 지역
DROP_RATE,드랍 확률
MINDROP,드랍 최소 수량
MAXDROP,드랍 최대 수량
SHOP_ID,상점 아이디
ITEM_ID_SHOP,판매 아이템 ID
SHOP_TYPE,판매 상점 타입
PRICE,가격
SHOP_UNLOCK_TYPE,해금 조건
MON_ID,몬스터 아이디
MON_ID_90101,포자펑
MON_ID_90102,스타터틀
MON_ID_90103,아라크네
MON_ID_90201,살라만더
MON_ID_90202,문뱃
MON_ID_90203,더치맨크랩
MON_ID_90301,만타
MON_ID_90302,발록
MON_ID_90303,데저트 웜
MON_NAME,몬스터 이름
MON_TYPE,몬스터 분류
MONHP,체력
MONATT,공격력
MONDEF,방어력
SPAWN_BIOME,출현 지역
MONSKILL2_ANIM,스킬 2 애니메이션
SKILL_ID,스킬 아이디
SKILL_ID_100101,드래곤엄니
SKILL_ID_100102,파이어브레스
SKILL_ID_100201,공격
SKILL_ID_100202,특수공격
SKILL_NAME,스킬 이름
SKILL_TYPE,스킬 분류
SKILL_CD,재사용 대기 턴수
SKILL_POWER,위력
SKILL_DESCRIPTION,설명
SKILL_DESCRIPTION_100101,드래곤류 기본 공격
SKILL_DESCRIPTION_100102,드래곤류 스킬 공격
SKILL_DESCRIPTION_100201,몬스터 기본 공격
SKILL_DESCRIPTION_100202,몬스터 스킬 공격
SKILL_EFFECT,투사체 이펙트
SKILL_HIT,타격 이펙트
TUTORIAL1,"어서 와, 신입 브리더!\n여기는 네가 드래곤을 키우게 될 둥지야."
TUTORIAL2,드래곤을 데리러 가보자.\n먼저 알을 부화시켜야 돼. 지도를 눌러봐.
TUTORIAL3,알 보관소로 가자.
TUTORIAL4,처음이니까 알을 준비해놨어.\n다음부터는 훈련을 하면 일정 확률로 알을\n받을 수 있어.
TUTORIAL5,알을 꾹 눌러 부화시켜봐.
TUTORIAL6,너의 첫 번째 드래곤이야!\n드래곤에게 이름을 지어줄래?
TUTORIAL7,멋진 이름이야!\n더욱 멋진 드래곤으로 키우기 위해서는\n드래곤의 능력치를 골고루 올려야해. 오른쪽 위 메뉴버튼을 눌러봐
TUTORIAL8,화살표가 가리키는 스탯버튼을 눌러 현재 능력치를 확인할 수 있어.\n한 번 봐볼까?
TUTORIAL9,배고픔 수치가 부족하네.\n화살표를 따라 먹이버튼을 눌러 밥을 줘보자.
TUTORIAL10,음식을 선택해서 드래곤에게 주면 돼. 
TUTORIAL11,좋아! 드래곤과 자주 놀아주면\n더욱 친밀한 사이가 될 수 있어.
TUTORIAL12,놀기 버튼을 누른 뒤에 아이템을 사용해서 드래곤과 놀아보자.\n 아이템을 선택해서 드래곤에게 흔들면 돼.
TUTORIAL13,더 좋은 아이템을 갖고 싶으면\n지도에서 상점으로 가봐.
TUTORIAL14,어떻게 드래곤을 육성시켜야할지\n감이 좀 잡혔을까?
TUTORIAL15,이제 마지막이야.\n지도로 가서 훈련을 해보자.
TUTORIAL16,훈련 지역은 5개로 나뉘어져 있어.\n맘에 드는 지역을 골라봐.
TUTORIAL17,하급 훈련부터 해보자.\n 선택하고 훈련시작을 누르면 돼.
TUTORIAL18,공격과 스킬을 사용해서 상대를 무찌르면 돼.\n 드래곤의 가호가 있기를!
